Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,98162101.9,3587.6,,96944664.7,3583.7,,93488988.1,993.0,,94318205.8,3418.0
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,97862106.3,3509.2,,96686719.2,3598.0,,93214937.5,782.1,,94014234.4,3459.7
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,97932393.0,3533.5,,96684923.6,3597.2,,93214937.5,861.0,,94014629.5,3465.4
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,98261016.1,3587.8,,97009067.0,3598.9,,93489060.7,711.4,,94330058.5,3389.9
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,98315729.4,3566.1,,97003711.1,3599.2,,93489060.7,1058.9,,94283860.2,3432.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,98129782.0,3598.5,,96826210.2,3596.8,,93272481.0,1032.4,,94210951.8,3484.0
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,98144188.6,3585.4,,96826988.8,3597.6,,93272481.0,1023.1,,94198295.7,3518.8
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,98018892.3,3428.7,,96649598.3,3598.8,,93311859.3,751.7,,94116268.6,3375.0
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,98022249.6,3432.7,,96644425.0,3598.3,,93311859.3,726.4,,94146034.4,3407.0
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,9352465.8,3557.6,,9297464.3,3522.2,,9188544.8,5.3,,9260320.1,3475.1
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,97196928.7,3404.9,,95916532.0,3598.8,,92231989.9,771.6,,93107984.6,3426.9
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,94822370.1,3598.9,,93699869.1,3598.9,,89183546.4,753.3,,90453023.4,3476.2
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,9350607.1,3333.0,,9297605.3,3517.5,,9188544.8,5.1,,9260862.9,3462.0
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,94867862.4,3599.4,,93706774.5,3598.8,,89183546.4,1081.1,,90442820.8,3488.3
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,9353491.0,3560.6,,9297288.8,3524.0,,9188544.8,5.8,,9260092.5,3343.6
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,95583489.1,3553.8,,94425516.0,3598.9,,90763605.4,1075.1,,91650789.1,3502.3
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,9352987.2,3510.3,,9297308.2,3507.2,,9188544.8,5.6,,9260298.0,3464.4
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,95618661.8,3393.6,,94423402.9,3598.9,,90763605.4,809.7,,91648629.4,3356.2
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,96387339.4,3598.9,,95091296.9,3598.9,,91491629.6,702.3,,92446562.4,3370.8
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,96381397.6,3598.6,,95088433.4,3599.1,,91491629.6,751.8,,92411884.5,3450.8
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,96162516.0,3518.3,,95117821.8,3594.9,,91767589.2,1075.4,,92499647.8,3520.4
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,97230764.2,3467.8,,95900640.1,3598.8,,92231989.9,1091.4,,93109619.4,3496.5
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,96148983.0,3599.2,,95115070.7,3593.6,,91767589.2,954.8,,92499652.0,3503.7
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,97302447.4,3580.7,,96098951.9,3597.4,,92473049.5,747.1,,93399614.7,3520.5
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,97360962.9,3568.0,,96100775.3,3597.4,,92473049.5,1013.2,,93331598.8,3511.1
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,97288243.4,3594.8,,96073132.5,3598.6,,92576854.6,764.2,,93481740.4,3481.6
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,97292139.0,3584.9,,96075582.2,3598.9,,92576854.6,800.6,,93447582.5,3479.9
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,97346733.1,3480.8,,96452395.3,3597.5,,91925610.1,899.0,,93113536.0,3522.8
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,97373598.1,3598.9,,96448870.7,3588.1,,91925610.1,895.4,,93094676.2,3524.1
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,36973999.2,3470.0,,36403457.5,3571.1,,35797344.9,177.1,,36357867.9,3477.0
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,96655789.5,3593.2,,95676627.3,3599.0,,91601936.4,994.4,,92517959.5,3500.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,96663742.9,3522.5,,95678085.0,3599.1,,91601936.4,729.9,,92591091.1,3436.4
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,98378089.8,3572.8,,97083902.5,3595.5,,93397081.8,1079.1,,94329059.2,3519.5
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,98360244.4,3403.8,,97079496.4,3595.0,,93397081.8,790.9,,94326430.9,3464.9
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,98316874.0,3404.7,,97119507.8,3597.5,,93618670.2,719.5,,94379678.0,3443.6
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,98331816.6,3593.2,,97117896.5,3597.3,,93618670.2,950.2,,94332833.5,3527.2
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,98187589.0,3585.3,,96935314.7,3579.3,,93488988.1,988.0,,94319068.6,3484.0
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,280129556.8,3589.8,,302181648.9,3597.7,,238633537.0,1192.3,,244677626.3,3318.4
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,300928446.3,3591.4,,323374933.6,3595.1,,265647556.2,1221.1,,270566340.6,3335.1
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,314709210.5,3587.1,,341621837.3,3594.9,,286846574.5,1398.7,,291096001.6,3380.7
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,302426245.8,3595.2,,341645583.9,3597.4,,287909680.5,1356.5,,291515251.2,3391.0
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,573494895.8,3596.1,,522772442.7,3585.0,,497726037.3,2065.3,,497726037.3,2065.3
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,474285742.2,3583.9,,448560228.9,3588.8,,413918065.2,2375.2,,413920900.8,2486.3
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,264454419.5,3589.3,,300410353.3,3597.7,,252621343.3,1340.4,,255976518.0,3292.1
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,375465407.0,3589.1,,410554131.4,3595.6,,352517886.7,1933.2,,354726658.7,3465.7
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,486161766.5,3583.4,,471554500.1,3588.4,,433532997.6,1981.3,,433742471.4,2143.1
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,392058636.0,3561.6,,435869675.5,3595.1,,361264379.9,2900.8,,361264379.9,2900.8
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,327307224.2,3588.7,,362219989.2,3596.1,,305116499.1,1296.0,,307665299.1,3443.6
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,214186551.7,3593.7,,236594766.4,3596.4,,171017187.3,2559.0,,171552897.5,3121.9
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,318488784.5,3585.7,,350911399.8,3596.3,,293627435.9,2392.6,,294073186.6,2804.7
