Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,931639.9,437.6,,919640.2,400.9,,872441.7,472.2
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,923796.5,287.1,,910966.8,292.5,,878809.5,304.8
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,928445.5,321.7,,913974.3,322.9,,878809.5,340.6
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,915920.3,195.8,,917831.2,279.9,,875525.5,298.5
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,930029.8,354.1,,922164.7,320.4,,875525.5,386.3
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,934314.5,425.1,,917428.0,360.4,,867178.2,472.7
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,929673.2,353.5,,916959.5,314.7,,867178.2,380.8
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,910191.7,149.4,,913504.6,228.1,,870334.5,253.2
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,916174.3,175.1,,913291.2,235.6,,870334.5,258.8
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,87208.3,<1,,87047.4,<1,,87725.8,<1
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,912170.0,282.2,,910838.7,288.8,,870454.0,328.3
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,886052.8,182.4,,884811.7,273.2,,828668.1,297.6
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,87268.8,<1,,87047.4,<1,,87725.8,<1
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,900583.0,460.5,,891009.7,456.7,,828668.1,576.7
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,87225.4,<1,,87047.4,<1,,87725.8,<1
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,909499.2,442.2,,897796.6,363.3,,855192.8,551.3
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,87293.4,<1,,87016.7,<1,,87725.8,<1
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,902412.3,281.1,,894432.6,296.2,,855192.8,329.4
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,906972.5,244.4,,899702.2,258.6,,857609.2,273.1
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,900605.7,207.9,,899673.3,254.6,,857609.2,267.6
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,910644.9,418.0,,902666.1,402.2,,861279.4,532.9
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,923879.7,478.3,,913532.9,406.9,,870454.0,554.1
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,909983.8,353.3,,901842.5,363.4,,861279.4,432.4
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,909528.1,197.1,,901300.2,281.4,,863230.2,289.4
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,918757.8,291.7,,906840.3,337.4,,863230.2,365.3
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,912065.2,236.8,,908334.0,266.5,,868878.2,307.0
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,917371.4,269.2,,909296.3,275.2,,868878.2,301.9
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,919323.2,328.9,,914371.8,277.5,,861308.6,342.5
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,914173.0,299.2,,915080.5,293.1,,861308.6,379.0
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,346128.0,24.1,,343863.0,17.3,,331287.3,25.0
