Instance,cmsgen,cmsgen+SATDiv optimization
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,88530323.6,98368996.5
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,88360526.8,97920109.2
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,88360526.8,97913342.2
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,88630013.0,98367677.7
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,88630013.0,98364370.8
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,88760617.2,98190467.0
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,88760617.2,98195413.5
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,88642183.6,98133344.0
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,88642183.6,98133404.7
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,8674808.2,9373400.2
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,87777693.6,97300414.5
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,85223853.4,94929989.7
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,8674808.2,9373831.5
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,85223853.4,94930868.0
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,8674808.2,9373834.3
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,85746924.0,95673283.3
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,8674808.2,9373454.7
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,85746924.0,95671665.0
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,86721788.2,96387357.5
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,86721788.2,96389032.7
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,86879509.6,96250566.7
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,87777693.6,97289074.2
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,86879509.6,96251065.7
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,88004068.2,97459367.8
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,88004068.2,97459253.2
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,87614689.8,97351349.7
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,87614689.8,97349096.2
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,87827499.6,97514557.3
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,87827499.6,97518032.5
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,33884917.4,37011154.3
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,87064217.2,96739077.7
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,87064217.2,96736081.5
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,89133188.4,98353120.5
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,89133188.4,98362224.0
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,88444482.4,98312050.0
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,88444482.4,98310435.0
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,88530323.6,98372577.5
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,285799462.6,290074045.7
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,301114670.4,306622890.3
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,320686653.0,328657683.8
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,325776093.6,327866612.3
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,554240127.4,582714055.8
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,466210514.8,484207606.5
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,281055651.0,282546973.3
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,382955748.4,388448469.0
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,483473394.2,496022838.2
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,416590571.6,419823370.0
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,340953850.8,342274394.3
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,225915736.4,227960920.8
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,331556457.2,335813045.3
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,358847502.8,364495952.0
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,0.0,0.0
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,378616212.4,384779493.7
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,393929036.8,408747198.8
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,416917517.4,430990846.2
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,154738562.0,166410163.2
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,153364438.8,164807688.7
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,7559648.0,7907036.0
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,7559648.0,7906989.7
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,155931069.0,166943099.5
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,193371799.6,211784483.8
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,153867746.6,164955709.7
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,187145254.6,201155320.8
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,156328311.0,168827694.8
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,7564994.0,7906502.3
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,7564994.0,7906502.3
sortware/XSEngine,2315187.4,2962887.0
sortware/aaed2000,2363063.0,3000847.8
sortware/adder,2387248.8,3002466.4
sortware/adderII,2372770.2,3012536.6
sortware/aeb,2212772.4,2816452.6
sortware/aim711,2339996.0,2963791.6
sortware/aki3068net,2233403.8,2835684.6
sortware/am31_sim,2165636.8,2725307.8
sortware/asb,2273795.0,2875729.2
sortware/asb2305,2254445.4,2880533.6
sortware/assabet,2300334.4,2914933.2
sortware/at91sam7sek,2337963.6,2964056.4
sortware/at91sam7xek,2387975.4,3044465.4
sortware/atlas_mips32_4kc,2238404.4,2854972.4
sortware/atlas_mips64_5kc,2229419.4,2837546.8
sortware/axtls,178845.2,204304.6
sortware/brutus,2250978.6,2836208.8
sortware/buildroot,1345913.4,1389949.2
sortware/busybox_1_28_0,2288890.0,2443674.4
sortware/calm16_ceb,2173819.8,2738280.2
sortware/calm32_ceb,2162633.8,2738410.4
sortware/ceb_v850,2204810.2,2787231.6
sortware/cerf,2323556.6,2972016.2
sortware/cerfpda,2351187.2,3009698.8
sortware/cma230,2234883.2,2820957.4
sortware/cma28x,2223368.0,2819666.8
sortware/cme555,2352739.2,2970332.2
sortware/cq7708,2279998.4,2867397.6
sortware/cq7750,2293800.6,2917728.8
sortware/csb281,2279257.4,2926310.2
sortware/dreamcast,2294487.0,2907851.4
sortware/e7t,2339233.0,2970402.4
sortware/ea2468,2448035.4,3085247.2
sortware/eb40,2274989.4,2880418.0
sortware/eb40a,2265314.8,2882982.6
sortware/eb42,2255899.6,2868776.4
sortware/eb55,2318182.6,2937846.6
sortware/ebsa285,2300228.6,2946465.2
sortware/ec555,2336445.8,2973001.0
sortware/ecos-icse11,2319663.2,2933150.6
sortware/edb7xxx,2280803.6,2905459.2
sortware/edosk2674,2210203.0,2806841.0
sortware/embtoolkit,3881878.2,4253136.6
sortware/excalibur_arm9,2244341.8,2856369.0
sortware/fads,2193322.4,2777703.8
sortware/financial,346771.4,414022.4
sortware/flexanet,2326346.6,2968394.0
sortware/freebsd-icse11,2907524.2,3296564.6
sortware/frv400,2302548.4,2919159.2
sortware/gps4020,2200316.4,2817270.8
sortware/grg,2286634.0,2905479.2
sortware/h8300h_sim,2175306.0,2750167.4
sortware/h8max,2244549.2,2823048.0
sortware/h8s_sim,2179434.2,2752681.0
sortware/hs7729pci,2353738.6,3028949.6
sortware/innovator,2301813.4,2940860.8
sortware/integrator_arm7,2305504.8,2950744.6
sortware/integrator_arm9,2301048.8,2959421.4
sortware/ipaq,2284788.4,2892741.4
sortware/iq80310,2329147.8,2952965.2
sortware/iq80321,2342890.0,2948136.2
sortware/ixdp425,2296826.4,2919231.4
sortware/jmr3904,2190386.6,2795575.0
sortware/jtst,2266490.6,2883002.6
sortware/linux,2237596.4,2836042.8
sortware/lpcmt,2307944.2,2905754.2
sortware/m5272c3,2472781.4,3104110.2
sortware/mac7100evb,2276751.6,2871577.0
sortware/mace1,2268770.6,2871699.2
sortware/malta_mips32_4kc,2284265.2,2895230.0
sortware/malta_mips64_5kc,2279929.4,2895045.0
sortware/mb93091,2310858.4,2938369.6
sortware/mb93093,2282331.8,2899333.4
sortware/mbx,2411633.6,3063843.8
sortware/mcb2100,2287536.8,2905899.4
sortware/moab,2378108.8,3010733.2
sortware/mpc50,2233352.2,2819176.8
sortware/nano,2356651.6,2987017.2
sortware/npwr,2334228.2,2950977.0
sortware/ocelot,2329194.8,2964455.0
sortware/olpce2294,2335573.2,2991408.0
sortware/olpch2294,2325719.4,2934362.2
sortware/olpcl2294,2345848.0,2989100.0
sortware/p2106,2294079.2,2905667.4
sortware/pati,2305569.4,2925340.8
sortware/pc_i82544,2337502.0,2962947.4
sortware/pc_i82559,2329438.2,2962828.8
sortware/pc_rltk8139,2341077.0,2981901.8
sortware/pc_usb_d12,2346633.4,2991036.0
sortware/pc_vmWare,2338019.8,2952421.8
sortware/phycore,2346963.2,2965300.0
sortware/phycore229x,2425858.2,3090204.4
sortware/picasso,2301812.2,2902737.6
sortware/pid,2243083.4,2853657.8
sortware/prpmc1100,2257255.8,2840718.2
sortware/psim,2179284.6,2765103.2
sortware/rattler,2463926.0,3131913.4
sortware/ref4955,2241837.0,2841807.8
sortware/refidt334,2362240.2,3002231.4
sortware/sa1100mm,2248445.4,2841010.4
sortware/sam7ex256,2397283.0,3044591.4
sortware/se7751,2372919.6,3009338.8
sortware/sh4_202_md,2324419.2,2943106.4
sortware/sh7708,2294253.2,2893073.0
sortware/skmb91302,2248639.6,2850640.4
sortware/sleb,2201207.2,2785065.4
sortware/smdk2410,2289755.2,2936367.0
sortware/snds,2263979.8,2843150.8
sortware/sparc_erc32,2153777.2,2735219.6
sortware/sparc_leon,2174404.8,2735166.4
sortware/sparclite_sim,2170112.0,2735175.2
sortware/stb,2306602.2,2929452.4
sortware/stdeval1,2173921.0,2782188.0
sortware/stm3210e_eval,2338306.8,2975216.0
sortware/toybox,406345.0,437477.6
sortware/ts1000,2420646.2,3073887.4
sortware/ts6,2317023.0,2935529.2
sortware/tx39_sim,2194602.8,2747680.8
sortware/uClinux,1499538.4,1515000.0
sortware/uClinux-config,11276322.0,13005052.4
sortware/uE250,2305483.2,2905138.0
sortware/vads,2310017.0,2935586.6
sortware/viper,2424893.2,3077806.2
sortware/vrc4373,2302867.8,2910291.2
sortware/vrc4375,2332211.4,2964989.0
